session_id,timestamp,scent_name
29865c41-afea-48bf-a134-b7b7eea12b53,2026-06-16T09:05:15.862877+00:00,Sweet Potato
29865c41-afea-48bf-a134-b7b7eea12b53,2026-06-16T09:05:15.862877+00:00,Angelica
29865c41-afea-48bf-a134-b7b7eea12b53,2026-06-16T09:05:15.862877+00:00,Cilantro
dda3afe5-5930-48ce-8eb7-094465995e39,2026-06-16T09:12:44.390553+00:00,Citronelly acet
dda3afe5-5930-48ce-8eb7-094465995e39,2026-06-16T09:12:44.390553+00:00,Cilantro
dda3afe5-5930-48ce-8eb7-094465995e39,2026-06-16T09:12:44.390553+00:00,Sweet Potato
a806d0a1-28ef-4f30-9ac9-abea536f76ff,2026-06-16T09:13:24.163089+00:00,Citronelly acet
a806d0a1-28ef-4f30-9ac9-abea536f76ff,2026-06-16T09:13:24.163089+00:00,Lavendar oil
a806d0a1-28ef-4f30-9ac9-abea536f76ff,2026-06-16T09:13:24.163089+00:00,Spearmint
0c7a7637-24dd-4ab0-8d6a-cc51f42c6b78,2026-06-16T09:14:28.176798+00:00,Sweet Potato
0c7a7637-24dd-4ab0-8d6a-cc51f42c6b78,2026-06-16T09:14:28.176798+00:00,Cilantro
0c7a7637-24dd-4ab0-8d6a-cc51f42c6b78,2026-06-16T09:14:28.176798+00:00,Citronelly acet
04bae216-725b-4cd0-84dd-9c56653e3df9,2026-06-16T09:57:05.644399+00:00,Citronelly acet
04bae216-725b-4cd0-84dd-9c56653e3df9,2026-06-16T09:57:05.644399+00:00,Mate NHS
ad4c1f78-0f53-409b-88d7-55df2823aa3a,2026-06-16T09:57:32.699119+00:00,Garlic
ad4c1f78-0f53-409b-88d7-55df2823aa3a,2026-06-16T09:57:32.699119+00:00,Cilantro
ad4c1f78-0f53-409b-88d7-55df2823aa3a,2026-06-16T09:57:32.699119+00:00,Spearmint
ab0c31c2-923a-4d52-9aa7-6a21f51146b0,2026-06-16T10:03:22.395017+00:00,Garlic
ab0c31c2-923a-4d52-9aa7-6a21f51146b0,2026-06-16T10:03:22.395017+00:00,Angelica
ab0c31c2-923a-4d52-9aa7-6a21f51146b0,2026-06-16T10:03:22.395017+00:00,Sweet Potato
ab0c31c2-923a-4d52-9aa7-6a21f51146b0,2026-06-16T10:03:22.395017+00:00,Spearmint
fc7daf34-82b9-4573-8abb-026a1ded4f45,2026-06-16T10:06:50.182900+00:00,Sweet Potato
fc7daf34-82b9-4573-8abb-026a1ded4f45,2026-06-16T10:06:50.182900+00:00,Garlic
fc7daf34-82b9-4573-8abb-026a1ded4f45,2026-06-16T10:06:50.182900+00:00,Cilantro
fc7daf34-82b9-4573-8abb-026a1ded4f45,2026-06-16T10:06:50.182900+00:00,Spearmint
